ID,Area,Industry,Industry Code,Occupation,SOC Occupation Code,Wage Type,Year,Measure Names,State Name,Year,Measure Values
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,263.03
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,194.77
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,Median Wage,Michigan,2025,122.86
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,76.93
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,50
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,Entry Level Wage,Michigan,2025,60
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,Mean Wage,Michigan,2025,143.63
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,Total Employment,Michigan,2025,4950
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,ExperienceWage,Michigan,2025,75.47
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,107.12
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,74.68
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,Median Wage,Michigan,2025,47.85
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,31.25
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,23.74
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,Entry Level Wage,Michigan,2025,26.87
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,Mean Wage,Michigan,2025,59.43
699864237,Michigan,"Total, All Industries",000000,General and Operations Managers,11-1021,Hourly wage,2025,Total Employment,Michigan,2025,85860
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,ExperienceWage,Michigan,2025,62.29
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,86.55
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,64.04
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,Median Wage,Michigan,2025,48.85
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,40.06
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,31.65
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,Entry Level Wage,Michigan,2025,35.1
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,Mean Wage,Michigan,2025,53.32
699864239,Michigan,"Total, All Industries",000000,Advertising and Promotions Managers,Nov-11,Hourly wage,2025,Total Employment,Michigan,2025,220
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,ExperienceWage,Michigan,2025,86.79
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,107.17
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,87.37
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,Median Wage,Michigan,2025,66.59
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,50.15
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,38.59
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,Entry Level Wage,Michigan,2025,43.56
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,Mean Wage,Michigan,2025,72.52
699864241,Michigan,"Total, All Industries",000000,Marketing Managers,Nov-21,Hourly wage,2025,Total Employment,Michigan,2025,6620
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,ExperienceWage,Michigan,2025,89.56
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,110.61
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,88.92
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,Median Wage,Michigan,2025,65.8
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,46.54
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,33.55
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,Entry Level Wage,Michigan,2025,38.5
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,Mean Wage,Michigan,2025,72.71
699864243,Michigan,"Total, All Industries",000000,Sales Managers,Nov-22,Hourly wage,2025,Total Employment,Michigan,2025,17950
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,ExperienceWage,Michigan,2025,75.83
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,102.58
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,79.15
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,Median Wage,Michigan,2025,56.69
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,43.91
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,33.98
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,Entry Level Wage,Michigan,2025,38.09
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,Mean Wage,Michigan,2025,63.38
699864245,Michigan,"Total, All Industries",000000,Public Relations Managers,Nov-32,Hourly wage,2025,Total Employment,Michigan,2025,1720
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,ExperienceWage,Michigan,2025,72.48
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,93.51
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,71.69
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,Median Wage,Michigan,2025,54.5
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,42.86
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,34.98
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,Entry Level Wage,Michigan,2025,37.76
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,Mean Wage,Michigan,2025,61.02
699864247,Michigan,"Total, All Industries",000000,Fundraising Managers,Nov-33,Hourly wage,2025,Total Employment,Michigan,2025,880
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,ExperienceWage,Michigan,2025,68
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,81.46
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,68.26
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,Median Wage,Michigan,2025,52.02
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,40.25
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,31.83
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,Entry Level Wage,Michigan,2025,35.07
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,Mean Wage,Michigan,2025,57.13
699864249,Michigan,"Total, All Industries",000000,Administrative Services Managers,Nov-12,Hourly wage,2025,Total Employment,Michigan,2025,6590
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,ExperienceWage,Michigan,2025,59.1
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,76.52
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,60.32
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,Median Wage,Michigan,2025,47.19
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,36.23
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,29.11
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,Entry Level Wage,Michigan,2025,31.57
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,Mean Wage,Michigan,2025,50.01
699864251,Michigan,"Total, All Industries",000000,Facilities Managers,Nov-13,Hourly wage,2025,Total Employment,Michigan,2025,4920
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,ExperienceWage,Michigan,2025,93.91
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,111.96
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,94.62
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,Median Wage,Michigan,2025,78.73
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,61.56
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,47.73
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,Entry Level Wage,Michigan,2025,52.33
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,Mean Wage,Michigan,2025,80.19
699864253,Michigan,"Total, All Industries",000000,Computer and Information Systems Managers,Nov-21,Hourly wage,2025,Total Employment,Michigan,2025,16010
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,ExperienceWage,Michigan,2025,91.77
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,124.27
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,87.56
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,Median Wage,Michigan,2025,67.01
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,50.71
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,38.6
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,Entry Level Wage,Michigan,2025,44.03
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,Mean Wage,Michigan,2025,76.01
699864255,Michigan,"Total, All Industries",000000,Financial Managers,Nov-31,Hourly wage,2025,Total Employment,Michigan,2025,22490
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,ExperienceWage,Michigan,2025,70.91
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,87.53
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,71.33
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,Median Wage,Michigan,2025,58.01
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,46.68
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,37.07
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,Entry Level Wage,Michigan,2025,40.22
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,Mean Wage,Michigan,2025,60.78
699864257,Michigan,"Total, All Industries",000000,Industrial Production Managers,Nov-51,Hourly wage,2025,Total Employment,Michigan,2025,14320
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,ExperienceWage,Michigan,2025,86.17
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,103.26
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,84.06
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,Median Wage,Michigan,2025,68.33
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,56.73
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,46.41
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,Entry Level Wage,Michigan,2025,48.95
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,Mean Wage,Michigan,2025,73.89
699864259,Michigan,"Total, All Industries",000000,Purchasing Managers,Nov-61,Hourly wage,2025,Total Employment,Michigan,2025,2780
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,ExperienceWage,Michigan,2025,61.92
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,81.26
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,62.02
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,Median Wage,Michigan,2025,47.65
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,37.07
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,29.67
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,Entry Level Wage,Michigan,2025,32.37
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,Mean Wage,Michigan,2025,52.17
699864261,Michigan,"Total, All Industries",000000,"Transportation, Storage, and Distribution Managers",Nov-71,Hourly wage,2025,Total Employment,Michigan,2025,8180
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,ExperienceWage,Michigan,2025,93.29
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,115.76
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,84.87
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,Median Wage,Michigan,2025,72.89
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,56.95
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,46.06
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,Entry Level Wage,Michigan,2025,49.6
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,Mean Wage,Michigan,2025,78.87
699864263,Michigan,"Total, All Industries",000000,Compensation and Benefits Managers,Nov-11,Hourly wage,2025,Total Employment,Michigan,2025,580
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,ExperienceWage,Michigan,2025,86.48
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,108.11
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,84.01
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,Median Wage,Michigan,2025,66.79
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,53.28
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,42.78
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,Entry Level Wage,Michigan,2025,46.72
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,Mean Wage,Michigan,2025,73.36
699864265,Michigan,"Total, All Industries",000000,Human Resources Managers,Nov-21,Hourly wage,2025,Total Employment,Michigan,2025,5890
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,ExperienceWage,Michigan,2025,72.21
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,99.62
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,73.32
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,Median Wage,Michigan,2025,57.03
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,43.71
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,35.37
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,Entry Level Wage,Michigan,2025,38.21
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,Mean Wage,Michigan,2025,60.99
699864267,Michigan,"Total, All Industries",000000,Training and Development Managers,Nov-31,Hourly wage,2025,Total Employment,Michigan,2025,900
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,ExperienceWage,Michigan,2025,47.05
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,60.36
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,50.48
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,Median Wage,Michigan,2025,39.72
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,27.59
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,19.3
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,Entry Level Wage,Michigan,2025,22.34
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,Mean Wage,Michigan,2025,38.9
699864269,Michigan,"Total, All Industries",000000,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,Hourly wage,2025,Total Employment,Michigan,2025,270
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,ExperienceWage,Michigan,2025,65.25
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,82.38
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,64.14
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,Median Wage,Michigan,2025,49.63
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,38.38
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,29.73
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,Entry Level Wage,Michigan,2025,33.12
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,Mean Wage,Michigan,2025,54.65
699864271,Michigan,"Total, All Industries",000000,Construction Managers,Nov-21,Hourly wage,2025,Total Employment,Michigan,2025,9620
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,ExperienceWage,Michigan,2025,32.31
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,39.72
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,31.54
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,Median Wage,Michigan,2025,27.34
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,22.59
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,18.59
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,Entry Level Wage,Michigan,2025,20.17
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,Mean Wage,Michigan,2025,28.3
699864273,Michigan,"Total, All Industries",000000,"Education and Childcare Administrators, Preschool and Daycare",Nov-31,Hourly wage,2025,Total Employment,Michigan,2025,1890
699864276,Michigan,"Total, All Industries",000000,"Education Administrators, Postsecondary",Nov-33,Hourly wage,2025,ExperienceWage,Michigan,2025,79.49
699864276,Michigan,"Total, All Industries",000000,"Education Administrators, Postsecondary",Nov-33,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,113.77
699864276,Michigan,"Total, All Industries",000000,"Education Administrators, Postsecondary",Nov-33,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,80.43
